,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New,District,lat,lon
0,0.0,4.0,30850000.0,115.0,55.5,30.0,3.41,6.0,1.0,1.0,0.0,1.0,2.0,12.0,0.0,0.0,55.766754,37.566395
1,1.0,1.0,20732000.0,56.8,,,3.62,5.0,1.0,1.0,0.0,1.0,8.0,13.0,1.0,0.0,55.723331,37.619971
2,2.0,,532695240.0,399.0,,,1.4,7.0,1.0,0.0,0.0,1.0,8.0,9.0,0.0,0.0,55.749603,37.597872
3,3.0,2.0,12300.0,54.0,32.0,13.0,4.79,15.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,55.761381,37.541404
4,4.0,1.0,4585315.0,17.3,17.3,,4.07,6.0,1.0,0.0,0.0,0.0,2.0,,1.0,0.0,55.775753,37.671938
5,5.0,1.0,4814581.0,17.3,10.0,,4.07,6.0,1.0,1.0,0.0,1.0,2.0,5.0,1.0,0.0,55.775753,37.671938
6,6.0,1.0,4814581.0,17.3,17.3,,4.12,5.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,55.776294,37.672163
7,7.0,1.0,5225953.0,18.1,18.1,,4.07,6.0,1.0,0.0,0.0,0.0,4.0,,1.0,0.0,55.775753,37.671938
8,8.0,1.0,5300000.0,32.0,20.0,7.0,4.52,4.0,1.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,55.730101,37.673214
9,9.0,1.0,5377566.0,18.3,10.0,,4.07,6.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,0.0,55.775753,37.671938
10,10.0,1.0,5496232.0,23.7,23.7,,4.12,5.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,55.776294,37.672163
11,11.0,1.0,5550000.0,37.4,20.0,9.6,5.01,10.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,55.775793,37.689042
12,12.0,1.0,5900000.0,30.0,16.0,6.0,5.93,,,1.0,0.0,1.0,3.0,5.0,0.0,0.0,55.756356,37.522477
13,13.0,1.0,6000000.0,35.0,20.0,10.0,5.91,13.0,1.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,55.753387,37.522998
14,14.0,1.0,6000000.0,35.1,20.1,9.6,4.25,10.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,0.0,55.737988,37.677301
15,15.0,1.0,6100000.0,34.0,21.0,8.0,4.01,12.0,1.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,55.770613,37.558796
16,16.0,1.0,6100000.0,36.0,20.0,10.0,4.25,10.0,1.0,0.0,0.0,1.0,12.0,12.0,0.0,0.0,55.737988,37.677301
17,17.0,1.0,6258687.0,25.5,15.0,,4.07,6.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,0.0,55.775753,37.671938
18,18.0,1.0,6258687.0,25.5,25.5,,4.07,6.0,1.0,0.0,0.0,0.0,4.0,,1.0,0.0,55.775753,37.671938
19,19.0,1.0,6325576.0,30.0,17.0,,4.07,6.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,0.0,55.775753,37.671938
20,20.0,1.0,6325576.0,29.5,29.5,,4.1,5.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,55.775824,37.67228
21,21.0,1.0,6325576.0,29.5,,29.5,4.07,5.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0,55.775753,37.671938
22,22.0,1.0,6355668.0,22.3,22.3,,4.07,6.0,1.0,0.0,0.0,0.0,3.0,,1.0,0.0,55.775753,37.671938
23,23.0,1.0,6400000.0,34.0,18.0,10.0,6.16,10.0,1.0,0.0,0.0,1.0,2.0,12.0,0.0,0.0,55.758564,37.518928
24,24.0,1.0,6437035.0,33.5,18.0,,4.07,6.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,0.0,55.775753,37.671938
25,25.0,1.0,6449418.0,28.5,16.0,,4.07,6.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,0.0,55.775753,37.671938
26,26.0,1.0,6500000.0,36.8,20.5,6.0,5.99,11.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,55.751361,37.521947
27,27.0,1.0,6500000.0,30.7,18.6,5.6,4.17,10.0,1.0,1.0,0.0,1.0,5.0,5.0,0.0,0.0,55.77114,37.556424
28,28.0,5.0,240981180.0,200.6,,,3.92,6.0,1.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,55.729524,37.575621
29,29.0,2.0,37500000.0,64.0,40.0,10.0,2.99,4.0,1.0,0.0,0.0,1.0,3.0,11.0,0.0,0.0,55.776183,37.586095
30,30.0,4.0,117000000.0,180.0,130.0,35.0,2.33,10.0,1.0,0.0,0.0,1.0,4.0,10.0,0.0,0.0,55.774867,37.601609
31,31.0,1.0,6600000.0,33.1,20.2,5.6,4.7,5.0,1.0,1.0,0.0,1.0,5.0,9.0,0.0,0.0,55.73003,37.676753
32,32.0,2.0,6600000.0,33.1,18.0,6.0,4.7,5.0,1.0,1.0,0.0,1.0,5.0,9.0,0.0,0.0,55.73003,37.676753
33,33.0,1.0,6790000.0,27.0,17.0,5.4,5.1,10.0,1.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,55.77472,37.691638
34,34.0,1.0,6800000.0,31.0,19.0,7.0,4.7,15.0,1.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,55.759537,37.542419
35,35.0,1.0,6850000.0,32.0,17.0,8.0,4.37,9.0,1.0,0.0,0.0,1.0,9.0,12.0,0.0,0.0,55.734962,37.676385
36,36.0,1.0,6889007.0,26.1,26.1,,4.07,6.0,1.0,0.0,0.0,0.0,1.0,,1.0,0.0,55.775753,37.671938
37,37.0,1.0,6900000.0,34.0,19.0,9.0,2.58,5.0,1.0,0.0,0.0,1.0,3.0,16.0,0.0,0.0,55.774305,37.642132
38,38.0,1.0,6934500.0,34.0,,,2.58,5.0,1.0,0.0,0.0,1.0,8.0,16.0,0.0,0.0,55.774305,37.642132
39,39.0,2.0,7000000.0,35.0,22.0,5.5,4.72,10.0,1.0,1.0,0.0,1.0,2.0,9.0,0.0,0.0,55.735302,37.683257
40,40.0,2.0,7021000.0,41.2,27.8,,4.41,,,1.0,0.0,1.0,5.0,19.0,1.0,0.0,55.745617,37.685364
41,41.0,1.0,7079400.0,34.0,19.0,9.0,2.58,5.0,1.0,0.0,0.0,1.0,8.0,16.0,0.0,0.0,55.774305,37.642132
42,42.0,1.0,7189943.0,30.5,30.5,,4.07,6.0,1.0,0.0,0.0,0.0,4.0,,1.0,0.0,55.775753,37.671938
43,43.0,1.0,7200000.0,35.0,20.0,9.0,4.91,10.0,1.0,0.0,0.0,1.0,10.0,12.0,0.0,0.0,55.773732,37.689096
44,44.0,1.0,7200000.0,27.0,25.0,,5.1,12.0,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,55.77472,37.691638
45,45.0,1.0,7200000.0,32.0,19.0,6.0,4.75,15.0,1.0,1.0,0.0,1.0,3.0,9.0,0.0,0.0,55.733472,37.682062
46,46.0,1.0,7200000.0,31.0,18.0,6.0,4.35,4.0,1.0,1.0,0.0,0.0,2.0,9.0,0.0,0.0,55.774011,37.678784
47,47.0,2.0,7200000.0,45.0,30.0,6.0,4.95,15.0,1.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,55.75937,37.538431
48,48.0,1.0,7220153.0,33.6,33.6,,4.1,5.0,1.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,55.775824,37.67228
49,49.0,1.0,7240000.0,41.8,27.4,10.0,3.71,11.0,1.0,1.0,0.0,1.0,29.0,44.0,1.0,0.0,55.771218,37.564721
50,50.0,2.0,7290000.0,47.0,29.0,6.5,5.02,15.0,1.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,55.759993,37.537443
51,51.0,1.0,7300000.0,32.0,19.5,6.0,3.21,5.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,55.755353,37.668615
52,52.0,2.0,7300000.0,38.0,24.0,6.0,4.72,10.0,1.0,1.0,0.0,0.0,2.0,9.0,0.0,0.0,55.735302,37.683257
53,53.0,1.0,7334891.0,32.5,32.5,,4.07,6.0,1.0,0.0,0.0,0.0,3.0,,1.0,0.0,55.775753,37.671938
54,54.0,2.0,7356800.0,41.3,27.8,,4.41,,,1.0,0.0,1.0,4.0,19.0,1.0,0.0,55.745617,37.685364
55,55.0,2.0,7356800.0,42.0,23.4,,4.41,,,1.0,0.0,1.0,5.0,19.0,1.0,0.0,55.745617,37.685364
56,56.0,3.0,69123549.0,109.0,80.0,20.0,4.99,2.0,1.0,1.0,0.0,0.0,36.0,62.0,0.0,0.0,55.747115,37.539078
57,57.0,4.0,38000000.0,90.0,66.0,9.0,2.2,7.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,55.756199,37.582188
58,58.0,3.0,42390855.0,116.0,85.0,15.0,1.41,6.0,1.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,55.766749,37.628631
59,59.0,1.0,7411462.0,27.6,27.6,,4.07,6.0,1.0,0.0,0.0,0.0,2.0,,1.0,0.0,55.775753,37.671938
60,60.0,1.0,7500000.0,35.2,17.0,8.5,4.91,10.0,1.0,0.0,0.0,1.0,9.0,12.0,0.0,0.0,55.773732,37.689096
61,61.0,1.0,7534606.0,34.1,34.1,,4.07,6.0,1.0,0.0,0.0,0.0,2.0,,1.0,0.0,55.775753,37.671938
62,62.0,1.0,7584028.0,33.0,33.0,,4.07,6.0,1.0,0.0,0.0,0.0,4.0,,1.0,0.0,55.775753,37.671938
63,63.0,2.0,7600000.0,38.0,24.0,6.0,5.04,10.0,1.0,1.0,0.0,1.0,7.0,9.0,0.0,0.0,55.758392,37.536949
64,64.0,2.0,7650000.0,36.0,21.0,5.0,4.13,13.0,1.0,1.0,0.0,1.0,8.0,9.0,0.0,0.0,55.785685,37.656505
65,65.0,2.0,7757670.0,47.1,,47.1,4.07,5.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,55.775753,37.671938
66,66.0,1.0,7764334.0,32.2,18.0,,4.07,6.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,0.0,55.775753,37.671938
67,67.0,1.0,7787802.0,32.2,,,4.07,9.0,1.0,1.0,0.0,1.0,3.0,6.0,1.0,0.0,55.775753,37.671938
68,68.0,2.0,7800000.0,44.0,31.0,6.0,5.88,10.0,1.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,55.752931,37.523411
69,69.0,2.0,7800000.0,45.0,30.0,6.5,4.36,8.0,1.0,1.0,0.0,1.0,5.0,5.0,0.0,0.0,55.732651,37.673484
70,70.0,1.0,7800000.0,32.0,21.0,6.0,3.44,4.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,55.761882,37.56344
71,71.0,1.0,7800000.0,35.0,20.0,10.0,4.46,5.0,1.0,0.0,0.0,1.0,8.0,12.0,0.0,0.0,55.743188,37.684874
72,72.0,1.0,7800000.0,31.0,20.0,6.0,4.4,13.0,1.0,1.0,0.0,1.0,7.0,9.0,0.0,0.0,55.764384,37.548564
73,73.0,1.0,7804265.0,35.6,35.6,,4.07,6.0,1.0,0.0,0.0,0.0,4.0,,1.0,0.0,55.775753,37.671938
